"","X","huc12","states","name","areasqkm","areaacres","sorted_state"
"80711","80711","010900030207","MA,RI","Abbott Run",74.12,18314.21,"MA"
"807111","80711","010900030207","MA,RI","Abbott Run",74.12,18314.21,"MA"
"12986","12986","010900030208","MA,RI","Peters River-Blackstone River",108.62,26841.61,"MA"
"129861","12986","010900030208","MA,RI","Peters River-Blackstone River",108.62,26841.61,"MA"
"42704","42704","010900040101","MA","Satucket River",90.75,22425.19,"MA"
"42707","42707","010900040102","MA","Matfield River",107.54,26574.05,"MA"
"80713","80713","010900040103","MA","Town River",157.19,38841.83,"MA"
"80710","80710","010900040201","MA","Winnetuxet River-Taunton River",127.84,31590.39,"MA"
"42705","42705","010900040202","MA","Assawompset Pond",127.5,31505.6,"MA"
"80712","80712","010900040203","MA","Nemasket River",54.3,13418.33,"MA"
"80719","80719","010900040204","MA","Cotley River-Taunton River",155.89,38521.84,"MA"
"42708","42708","010900040301","MA","Wading River",113,27923.73,"MA"
"80720","80720","010900040302","MA","Threemile River",107.91,26665.64,"MA"
"42702","42702","010900040401","MA,RI","Ten Mile River",144.27,35650.49,"MA"
"427021","42702","010900040401","MA,RI","Ten Mile River",144.27,35650.49,"MA"
"42700","42700","010900040701","MA,RI","Palmer River",134.24,33171.4,"MA"
"427001","42700","010900040701","MA,RI","Palmer River",134.24,33171.4,"MA"
"42706","42706","010900040702","MA,RI","Barrington River-Warren River",46.54,11499.75,"MA"
"427061","42706","010900040702","MA,RI","Barrington River-Warren River",46.54,11499.75,"MA"
"80721","80721","010900040801","MA","Mill River",116.72,28841.83,"MA"
"86000","86000","010900040802","MA","Assonet River",89.1,22018.01,"MA"
"86023","86023","010900040803","MA,RI","Quequechan River",78,19274.09,"MA"
"860231","86023","010900040803","MA,RI","Quequechan River",78,19274.09,"MA"
"42701","42701","010900040804","MA","Taunton River-Frontal Mount Hope Bay",134.44,33220.81,"MA"
"42697","42697","010900040905","MA,RI","Mount Hope Bay",143.96,35572.59,"MA"
"426971","42697","010900040905","MA,RI","Mount Hope Bay",143.96,35572.59,"MA"
"14907","14907","011000010101","CT,MA","Hamilton Reservoir",52.71,13025.52,"MA"
"149071","14907","011000010101","CT,MA","Hamilton Reservoir",52.71,13025.52,"MA"
"8222","8222","011000010102","MA","Headwaters Quinebaug River",109.13,26966.48,"MA"
"81072","81072","011000010103","CT,MA","McKinstry Brook-Quinebaug River",107.16,26479.43,"MA"
"810721","81072","011000010103","CT,MA","McKinstry Brook-Quinebaug River",107.16,26479.43,"MA"
"14908","14908","011000010104","CT,MA","Cady Brook-Quinebaug River",101.88,25174.87,"MA"
"149081","14908","011000010104","CT,MA","Cady Brook-Quinebaug River",101.88,25174.87,"MA"
"81073","81073","011000010105","CT,MA","Shunway Brook-Quinebaug River",63.37,15659.41,"MA"
"810731","81073","011000010105","CT,MA","Shunway Brook-Quinebaug River",63.37,15659.41,"MA"
"15516","15516","011000010201","MA","Upper French River",65.98,16304.94,"MA"
"15119","15119","011000010202","MA","Buffumville Lake-Little River",67.74,16739.73,"MA"
"8217","8217","011000010203","CT,MA","Middle French River",103.78,25644.28,"MA"
"82171","8217","011000010203","CT,MA","Middle French River",103.78,25644.28,"MA"
"81142","81142","011000010204","CT,MA","Lower French River",52.61,13000.43,"MA"
"811421","81142","011000010204","CT,MA","Lower French River",52.61,13000.43,"MA"
"8219","8219","011000010301","CT,MA,RI","Upper Fivemile River",99.44,24572.28,"MA"
"82191","8219","011000010301","CT,MA,RI","Upper Fivemile River",99.44,24572.28,"MA"
"82192","8219","011000010301","CT,MA,RI","Upper Fivemile River",99.44,24572.28,"MA"
"14875","14875","011000010401","CT,MA","Roseland Lake-Little River",101.4,25056.42,"MA"
"148751","14875","011000010401","CT,MA","Roseland Lake-Little River",101.4,25056.42,"MA"
"81140","81140","011000020102","CT,MA","Middle River",41.97,10372.16,"MA"
"811401","81140","011000020102","CT,MA","Middle River",41.97,10372.16,"MA"
"14909","14909","011000020103","CT,MA","Furnace Brook",42.48,10498,"MA"
"149091","14909","011000020103","CT,MA","Furnace Brook",42.48,10498,"MA"
"81143","81143","011000020203","CT,MA","Bigelow Brook",75.78,18725.31,"MA"
"811431","81143","011000020203","CT,MA","Bigelow Brook",75.78,18725.31,"MA"
"80347","80347","011000050101","MA","West Branch Housatonic River",156.46,38661.11,"MA"
"98740","98740","011000050102","MA","Wahconah Falls Brook",55.74,13772.65,"MA"
"15555","15555","011000050103","MA","East Branch Housatonic River",128.03,31637.47,"MA"
"80348","80348","011000050104","MA","Sackett Brook-Housatonic River",106,26192.33,"MA"
"55516","55516","011000050105","MA","Goose Pond Brook-Housatonic River",94.5,23350.35,"MA"
"15120","15120","011000050106","MA","Mad River-Hop Brook",57.54,14218.07,"MA"
"15121","15121","011000050107","MA","Konkapot Brook-Housatonic River",137.23,33911.21,"MA"
"80329","80329","011000050201","MA,NY","Williams River",114.39,28266.06,"MA"
"80330","80330","011000050202","MA,NY","Green River",137.84,34061.09,"MA"
"98738","98738","011000050203","CT,MA,NY","Hubbard Brook",129.81,32076.18,"MA"
"987381","98738","011000050203","CT,MA,NY","Hubbard Brook",129.81,32076.18,"MA"
"14910","14910","011000050204","CT,MA","Ironwork Brook-Housatonic River",110.94,27414.37,"MA"
"149101","14910","011000050204","CT,MA","Ironwork Brook-Housatonic River",110.94,27414.37,"MA"
"81144","81144","011000050301","CT,MA","Konkapot River",159.74,39473.38,"MA"
"811441","81144","011000050301","CT,MA","Konkapot River",159.74,39473.38,"MA"
"81145","81145","011000050302","CT,MA","Whiting River",48.96,12099.1,"MA"
"811451","81145","011000050302","CT,MA","Whiting River",48.96,12099.1,"MA"
"14911","14911","011000050303","CT,MA","Blackberry River",70.16,17336.48,"MA"
"149111","14911","011000050303","CT,MA","Blackberry River",70.16,17336.48,"MA"
"81146","81146","011000050305","CT,MA,NY","Salmon Creek",98.47,24332.14,"MA"
"811461","81146","011000050305","CT,MA,NY","Salmon Creek",98.47,24332.14,"MA"
"14882","14882","011000050306","CT,MA","Carse Brook-Housatonic River",110.14,27215.57,"MA"
"148821","14882","011000050306","CT,MA","Carse Brook-Housatonic River",110.14,27215.57,"MA"
"22582","22582","020200030601","MA","Headwaters Hoosic River",93.69,23150.77,"MA"
"22584","22584","020200030602","MA,VT","North Branch Hoosic River",113.08,27942.44,"MA"
"225841","22584","020200030602","MA,VT","North Branch Hoosic River",113.08,27942.44,"MA"
"98743","98743","020200030603","MA","Phillips Creek-Hoosic River",99.46,24576.38,"MA"
"85942","85942","020200030604","MA,NY","Green River",111.47,27544.12,"MA"
"53487","53487","020200030605","MA,NY,VT","Hemlock Brook-Hoosic River",126.89,31354.06,"MA"
"534871","53487","020200030605","MA,NY,VT","Hemlock Brook-Hoosic River",126.89,31354.06,"MA"
"53485","53485","020200030801","MA,NY","Headwaters Little Hoosic River",103.74,25634.95,"MA"
"85943","85943","020200060601","MA,NY","West Brook-Kinderhook Creek",104.64,25858.12,"MA"
"85945","85945","020200060603","MA,NY","Wyomanock Creek",79.28,19589.7,"MA"
"67926","67926","020200060606","MA,NY","Stony Kill",110.88,27399.12,"MA"
