"","X","huc12","states","name","areasqkm","areaacres"
"31505","31505","041401010502","NY","Salmon Creek",50.35,12441.44
"31506","31506","041401010303","NY","Brush Marsh-Frontal Lake Ontario",11.77,2908.44
"31507","31507","041401010602","NY","Bear Creek",41.32,10210.92
"31508","31508","041401010603","NY","Mill Creek-Frontal Lake Ontario",82.96,20500.34
"31509","31509","041401010604","NY","Fourmile Creek",63.5,15692.09
"33821","33821","041402020101","NY","Alder Creek",73.48,18156.95
"35597","35597","020200010702","NY","Millington Brook-Hudson River",86.35,21336.52
"35701","35701","020200010608","NY","Big Brook-Schroon River",88.02,21749.4
"35703","35703","020200010701","NY","Glen Creek",52.56,12986.95
"35704","35704","020200010703","NY","Patterson Brook-Hudson River",121.6,30048.8
"35705","35705","020200010704","NY","Stony Creek",124.34,30724.61
"35706","35706","020200010705","NY","Lake Luzerne",68.59,16948.59
"35708","35708","020200010706","NY","Wolf Creek-Hudson River",76.68,18948.8
"35909","35909","020200010101","NY","Indian Pass Brook-Hudson River",79.58,19665.15
"35910","35910","020200010102","NY","Opalescent River",83.7,20682.19
"35911","35911","020200010204","NY","Wakely Brook",66.78,16501.47
"35912","35912","020200010201","NY","Mossy Vly Brook-Jessup River",145.73,36011.45
"35913","35913","020200010202","NY","Miami River",97.67,24135.84
"35914","35914","020200010203","NY","Big Brook",68.35,16890.17
"35915","35915","020200010103","NY","Fishing Brook",65.59,16207.9
"35916","35916","020200010104","NY","Catlin Lake",64.64,15973.07
"35917","35917","020200010105","NY","Flat Brook",60.3,14900.97
"35918","35918","020200010107","NY","Beaver Brook-Hudson River",87.02,21502.29
"35919","35919","020200010205","NY","Porter Brook-Indian River",142.11,35117.32
"35920","35920","020200010301","NY","Rock River",146.2,36126.15
"35921","35921","020200010302","NY","Onion Brook-Cedar River",117.88,29129.95
"35922","35922","020200010303","NY","Browns Brook-Cedar River",74.28,18354.81
"35923","35923","020200010304","NY","Bear Trap Brook-Cedar River",89.27,22060.14
"35924","35924","020200010305","NY","Goodnow River",71.37,17635.03
"35925","35925","020200010306","NY","Split Rock Pond-Hudson River",98.46,24331.07
"35926","35926","020200010401","NY","Durgin Brook-Boreas River",110.06,27196.28
"35927","35927","020200010402","NY","Balfour Lake-Boreas River",44.17,10914.73
"35928","35928","020200010407","NY","Mill Creek",125.43,30994.26
"35929","35929","020200010408","NY","Balm of Gilead Brook-Hudson River",122.35,30232.63
"35930","35930","020200010501","NY","Sand Pond Brook-The Branch",113.72,28100.29
"35931","35931","020200010502","NY","Niagara Brook-The Branch",52.35,12934.83
"35932","35932","020200010403","NY","Vanderwhacker Brook-Boreas River",83.1,20534.13
"35933","35933","020200010404","NY","Nate Pond Brook-Hudson River",61.31,15149.14
"35934","35934","020200010405","NY","Raquette Brook-Hudson River",99.41,24565.64
"35935","35935","020200010406","NY","North Creek",56.95,14072.36
"35936","35936","020200010503","NY","Black Brook",58.45,14443.87
"35937","35937","020200010504","NY","West Mill Brook-Schroon River",149.32,36897.35
"36240","36240","020200010505","NY","Bass Lake-Schroon River",74.62,18439.1
"36241","36241","020200010506","NY","Paradox Creek",122.35,30232.09
"36242","36242","020200010507","NY","Alder Creek",41.99,10376.75
"36243","36243","020200010508","NY","Mill Brook",67.1,16581.71
"36244","36244","020200010509","NY","Sucker Brook-Schroon River",141.53,34973.45
"36245","36245","020200010601","NY","Trout Brook",81.38,20109.7
"36246","36246","020200010602","NY","Minerva Stream-Trout Brook",125.58,31032.31
"36247","36247","020200010603","NY","Alder Brook-Trout Brook",49.17,12148.94
"36248","36248","020200010604","NY","Chester Creek",88.33,21825.79
