"","X","huc12","states","name","areasqkm","areaacres"
"45120","45120","043001080901","VT","Malletts Creek",61.17,15115.37
"45124","45124","043001070502","VT","Fairfield River",51.54,12737
"45128","45128","043001081201","VT","Jewett Brook",60,14825.63
"45129","45129","043001070501","VT","Headwaters Black Creek",144.12,35612.82
"45130","45130","043001070503","VT","Dead Creek",62.34,15404.3
"45132","45132","043001070101","VT","Headwater Missisquoi River",83.98,20751.86
"45133","45133","043001070504","VT","Black Creek",52.75,13035.13
"45134","45134","043001070602","VT","Hungerford Brook",50.89,12574.01
"45135","45135","043001081204","VT","Saint Albans Bay-Lake Champlain",442.95,109454.49
"50664","50664","043001070603","VT","Outlet Missisquoi River",42.14,10411.81
"53486","53486","020200030802","NY,VT","Little Hoosic River",90.73,22420.81
"65625","65625","020200030101","NY,VT","West Branch Black Creek",79.67,19687.75
"65628","65628","020200030204","NY,VT","Camden Creek",46.13,11400.1
"65629","65629","020200030205","NY,VT","Green River-Batten Kill",148.17,36613.39
