"","huc14","states","name","areasqkm","areaacres"
"3961","19010303070303","AK","19010303070303",6.72,1660.29
"3962","19010303120807","AK","Herman Creek",7.39,1826.53
"3963","19010303020502","AK","Porcupine Creek-Skagway River",32.43,8014.5
"3964","19010303010104","AK","19010303010104-Nourse River",14.25,3521.16
"3965","19010303120801","AK","19010303120801",9.14,2258.88
"3966","19010303140301","AK","Dickinson Glacier",15.02,3711.31
"3967","19010303030301","AK","19010303030301-Chilkoot River",16.55,4088.5
"3968","19010303030306","AK","19010303030306",5.58,1377.77
"3969","19010303120806","AK","Little Boulder Creek",30.69,7582.91
"3970","19010303150202","AK","19010303150202-Garrison Glacier",24.11,5958.43
"3971","19010303110907","AK","19010303110907-Chilkat River",39.94,9869.74
"3972","19010303120802","AK","19010303120802-Surgeon Mountain",7.54,1862.07
"3973","19010303060201","AK,CN","19010303060201-Snow Top",147.01,36326.1
"3974","19010303150106","AK","19010303150106",8.5,2099.7
"3975","19010303110701","AK","19010303110701-Klutshah Mountain",15.37,3797.19
"3976","19010303100804","AK,CN","Lower Nataga Creek",28.19,6965.28
"3977","19010303010405","AK","Nelson Creek",7.05,1741.96
"3978","19010303080103","AK","Lutak Inlet",37.96,9379.35
"3979","19010303110103","AK","19010303110103-Chilkat Glacier",37.78,9334.6
"3980","19010303010402","AK","Upper Taiya River",28.9,7140.41
"3981","19010303130202","AK,CN","Tsirku Glacier-Tsirku River",40.76,10073.01
"3982","19010303140102","AK","19010303140102-Takhinsha Mountains",22.17,5477.1
"3983","19010303020401","AK,CN","South Glacier-East Fork Skagway River",32.37,7998.59
"3984","19010303080204","AK","19010303080204",28.21,6971.26
"3985","19010303110501","AK","19010303110501",33,8154.16
"3986","19010303010401","AK,CN","Headwaters Taiya River",38.08,9410.13
"3987","19010303020301","AK,CN","19010303020301",13.07,3230.86
"3988","19010303110908","AK","Mosquito Lake",14.56,3597.82
"3989","19010303060401","AK","19010303060401-Mount Brackett",39.44,9746.09
"3990","19010303050102","AK","Kasidaya Creek",30.49,7535.06
"3991","19010303060101","AK","Mount Brackett-Meade Glacier",43.39,10720.82
"3992","19010303030308","AK","Chilkoot Lake",37.29,9214.65
"3993","19010303030201","AK","19010303030201-Iron Mountain",15.91,3932.54
"3994","19010303030106","AK","19010303030106",27.16,6710.89
"3995","19010303110803","AK","19010303090403-Klutshah Mountain",12.51,3090.69
"3996","19010303030103","AK","19010303030103-Chilkoot River",39.12,9667.37
"3997","19010303070101","AK","19010303070101-Mount Bagot",38.94,9623
"3998","19010303070204","AK","19010303070204",37.72,9321.43
"3999","19010303140306","AK","19010303140306",12.13,2997.77
"4000","19010303080202","AK","19010303080202-Mount Villard",5.09,1258.22
"4001","19010303110101","AK","19010303110101-Chilkat Glacier",7.99,1973.34
"4002","19010303050101","AK","19010303050101",23.1,5708.99
"4003","19010303020403","AK","19010303020403-Twin Dewey Peaks",20.99,5186.93
"4004","19010303060302","AK","19010303060302",18.47,4563.71
"4005","19010303060303","AK","19010303060303",24.71,6104.99
"4006","19010303010107","AK","19010303010107",26.92,6651.53
"4007","19010205030102","AK,CN","19010205030102-Craig River",23.33,5765.06
"4008","19010205030204","AK,CN","Lower South Fork Craig River",34.43,8506.64
"4009","19010303020501","AK","Goat Lake",12.73,3145.56
"4010","19010303080203","AK","Paradise Lake",5.78,1427.19
"4011","19010303080201","AK","Taiyasanka Harbor",7.29,1801.64
"4012","19010208030207","AK","Icy Cove-Frontal Frederick Sound",99.76,24650.86
"4013","19010105100311","AK","19010105100311",6.68,1649.49
"4014","19010303080206","AK","Chilkoot Inlet",154.25,38116.76
"4015","19010303010406","AK","Outlet Taiya River",18.36,4537.09
"4016","19010303010404","AK","Lower Taiya River",36.91,9120.13
"4017","19010104040404","AK","Santa Anna Inlet",8.63,2132.61
"4018","19010303010403","AK","Middle Taiya River",33.06,8169.02
"4019","19010208030701","AK","19010208030701",6.55,1619.27
"4020","19010303020503","AK","Reid Creek",7.86,1942.28
"4021","19010301060611","AK","Duck Creek",4.74,1171.21
"4022","19010303020302","AK,CN","Bridal Veil Falls-Captain William Moore Creek",28.09,6942.14
"4023","19010303020402","AK,CN","19010303020402-Mount Hefty",16.89,4173.74
"4024","19010303010105","AK","19010303010105",18.14,4482.25
"4025","19010303010102","AK,CN","Headwaters Nourse River",11.82,2920.01
"4026","19010303010101","AK,CN","19010303010101-Mount Foster",30.86,7624.99
"4027","19010303020103","AK","Glacier Gorge",5.23,1292.91
"4028","19010303010106","AK","19010303010106-Mount Hoffman",8.29,2048.09
"4029","19010303060402","AK","19010303060402",22.89,5657.3
"4030","19010301021004","AK","Evelyn Lake-Lace River",43.5,10748.57
"4031","19010303130301","AK","Upper Little Salmon River",13.92,3440.32
"4032","19010303150303","AK","19010303150303",4.72,1166.59
