"","X","huc12","states","name","areasqkm","areaacres","sorted_state"
"9185","9185","010500020703","ME","Machias Bay-Atlantic Ocean",225.27,55665.62,"ME"
"58891","58891","010500020801","ME","Chandler River",159.14,39323.11,"ME"
"23830","23830","010500020802","ME","Indian River-Frontal Western Bay",76.84,18988.61,"ME"
"23831","23831","010500020803","ME","Roque Bluffs-Frontal Atlantic Ocean",150.7,37237.68,"ME"
"23833","23833","010500020804","ME","Great Wass Island-Roque Island",32.62,8061.54,"ME"
"23834","23834","010500020805","ME","Western Bay-Englishman Bay",422.36,104368.28,"ME"
"58854","58854","010500020901","ME","Pleasant River Lake",39.16,9676.6,"ME"
"58855","58855","010500020902","ME","Upper Pleasant River",122.31,30223.5,"ME"
"58856","58856","010500020903","ME","Western Little River",57.19,14131.64,"ME"
"58857","58857","010500020904","ME","Lower Pleasant River",113.28,27992.3,"ME"
"23835","23835","010500020905","ME","Mill River-Frontal Pleasant Bay",71.44,17653.07,"ME"
"58927","58927","010500020906","ME","Harrington River",72.2,17840.61,"ME"
"58928","58928","010500020907","ME","Islands of Pleasant Bay",3.96,979.6,"ME"
"58388","58388","010500020908","ME","Pleasant Bay-Atlantic Ocean",63.7,15741.24,"ME"
"58929","58929","010500021001","ME","Beddington Lake",208.13,51430.01,"ME"
"58930","58930","010500021002","ME","Schoodic Brook",48.48,11978.69,"ME"
"58931","58931","010500021003","ME","Spring River",39.81,9836.64,"ME"
"58932","58932","010500021004","ME","West Branch Narraguagus River",167.72,41443.98,"ME"
"58933","58933","010500021005","ME","Narraguagus River",168.52,41642.48,"ME"
"23836","23836","010500021006","ME","Bobby Creek-Frontal Narraguagus Bay",18.28,4516.14,"ME"
"58934","58934","010500021007","ME","Islands of Narraguagus Bay",6.49,1604.22,"ME"
"9186","9186","010500021008","ME","Narraguagus Bay-Atlantic Ocean",108.16,26726.22,"ME"
"58935","58935","010500021101","ME","Tunk Lake",49.82,12310,"ME"
"58649","58649","010500021102","ME","Tunk Stream",75.89,18753.64,"ME"
"23837","23837","010500021103","ME","Whitten Parritt Stream-Frontal Gouldsboro Bay",111.17,27470.58,"ME"
"58650","58650","010500021104","ME","Islands of Gouldsboro Bay",0.01,3.25,"ME"
"58980","58980","010500021105","ME","Gouldsboro Bay",27.37,6762.2,"ME"
"23838","23838","010500021106","ME","East Steuben Pond-Frontal Dyer Bay",34.33,8482.11,"ME"
"56764","56764","010500021107","ME","Islands of Dyer Bay",0.09,21.19,"ME"
"58981","58981","010500021108","ME","Dyer Bay",14.46,3572.97,"ME"
"23839","23839","010500021109","ME","Petit Manan Point-Frontal Atlantic Ocean",50.95,12590.13,"ME"
"58982","58982","010500021110","ME","Islands of Schoodic Point-Petit-Manan Point Frontal Drainages",1.04,258,"ME"
"23840","23840","010500021111","ME","Prospect Harbor-Pigeon Hill Bay",204.37,50502.1,"ME"
"58983","58983","010500021201","ME","Brandy Pond",85.24,21062.6,"ME"
"58984","58984","010500021202","ME","Buffalo Stream",74.89,18504.61,"ME"
"58985","58985","010500021203","ME","Great Pond",145.51,35955.14,"ME"
"58986","58986","010500021204","ME","Upper West Branch Union River",66.85,16520.06,"ME"
"58987","58987","010500021205","ME","Lower West Branch Union River",101.07,24973.97,"ME"
"58988","58988","010500021206","ME","Lower Lead Mountain Pond",34.34,8486.44,"ME"
"59027","59027","010500021207","ME","Spectacle Pond",90.87,22454.99,"ME"
"59028","59028","010500021208","ME","Middle Branch Union River",126.82,31337.22,"ME"
"59029","59029","010500021209","ME","East Branch Union River",98.97,24456.5,"ME"
"58628","58628","010500021210","ME","Webb Pond",86.16,21289.93,"ME"
"59031","59031","010500021211","ME","Dumb Brook",26.15,6462.21,"ME"
"59032","59032","010500021212","ME","Tannery Brook",48.38,11954.32,"ME"
"5166","5166","010500021213","ME","Beech Hill Pond",27.32,6749.7,"ME"
"6682","6682","010500021214","ME","Mountainy Pond",34.84,8609.94,"ME"
"59033","59033","010500021215","ME","Green Lake",83.45,20621.06,"ME"
"59034","59034","010500021216","ME","Graham Lake",123.3,30467.64,"ME"
"59035","59035","010500021301","ME","Branch Lake",79.98,19763.95,"ME"
"59036","59036","010500021302","ME","Union River",80.54,19902.15,"ME"
"59037","59037","010500021303","ME","Patten Stream",87.38,21592.39,"ME"
"58630","58630","010500021304","ME","Union River Bay",74.5,18408.47,"ME"
"58631","58631","010500021401","ME","Donnell Pond-Card Mill Stream",63.35,15655.29,"ME"
"23841","23841","010500021402","ME","Mill Brook-Frontal Taunton Bay",126.5,31257.62,"ME"
"23842","23842","010500021403","ME","Taunton Bay",14.19,3505.29,"ME"
"84498","84498","010500021404","ME","Flanders Pond-Flanders Stream",29.8,7364.66,"ME"
"84499","84499","010500021405","ME","Skillings River",90.68,22406.41,"ME"
"84567","84567","010500021406","ME","Jordan River",27.18,6717.11,"ME"
"23910","23910","010500021407","ME","Northeast Creek-Frontal Frenchman Bay",56.28,13906.29,"ME"
"23911","23911","010500021408","ME","Waukeag Neck-Frontal Frenchman Bay",130.76,32311.47,"ME"
"84566","84566","010500021409","ME","Islands of Frenchman Bay",10.03,2479.4,"ME"
"84568","84568","010500021410","ME","Frenchman Bay-Atlantic Ocean",198.65,49088,"ME"
"23912","23912","010500021501","ME","Somes Pond-Frontal Somes Sound",76.29,18850.69,"ME"
"23909","23909","010500021502","ME","Jordan Pond-Frontal Eastern Way",31.93,7890.42,"ME"
"23913","23913","010500021503","ME","Seal Cove Pond-Frontal Atlantic Ocean",113.99,28167.69,"ME"
"84570","84570","010500021504","ME","McHeard Brook",28.04,6928.34,"ME"
"84663","84663","010500021505","ME","Mill Stream-Blue Hill",19.77,4886.22,"ME"
"84665","84665","010500021506","ME","Carleton Stream-First Pond",27.67,6837.3,"ME"
"23914","23914","010500021507","ME","Blue Hill Neck-Frontal Blue Hill Bay",85.64,21162.91,"ME"
"84648","84648","010500021508","ME","Islands of Blue Hill-Mount Desert Frontal Drainages",49.89,12328.18,"ME"
"23816","23816","010500021509","ME","Blue Hill Bay-Atlantic Ocean",618.49,152832.79,"ME"
"84666","84666","010500021601","ME","Upper Bagaduce River",92.7,22906.15,"ME"
