"","HUC_12","Pct_Land","Shape_Length","Shape_Area"
"360","010200030509",98.2255567464571,36920.9521718687,52902720.5051053
"361","010200030510",99.9812796405691,39445.8676335822,43263812.4815571
"362","010200030511",98.0440771349862,134397.027940594,143752092.618436
"363","010200030601",99.8307465768495,51471.5640456297,53178452.3399992
"364","010200030602",99.8946494700549,40719.7460949512,56397212.0842203
"365","010200030603",99.9603389568178,62688.1775634825,93017638.4942561
"366","010200030604",93.8439392435223,59615.8945405456,90658053.1892662
"367","010200030605",95.5092813980785,36686.3555675922,41399121.3287926
"368","010200030606",99.3359058013017,90909.4352154828,108688335.364677
"369","010200030607",98.8618228566362,125576.317966479,162425529.968655
"370","010200030701",89.114880617413,28101.7403388806,22386895.0267567
"371","010200030702",99.7894088037393,75614.7980725112,87609173.5962957
"372","010200030703",99.840778932802,77225.9567433083,107961656.180061
"373","010200030704",98.2492079552806,72064.2167703294,108520657.11683
"374","010200040101",99.5635168961201,39577.7749629334,57520402.7567706
"375","010200040102",87.4576517278095,29569.5439209739,37187433.2210529
"376","010200040103",99.1858719814565,67729.8177465192,94734767.0285118
"377","010200040104",99.2825811482601,46346.1552170886,46172156.8075773
"378","010200040105",99.4653069448104,37218.6390327383,58067975.8217143
"379","010200040106",99.6169888505655,43288.7193725484,44877888.8454184
"380","010200040107",94.8999836612749,57744.5658051858,77101358.8538898
"381","010200040108",92.0778356802306,26856.3455853546,32487204.8243282
"382","010200040109",99.9097754797515,38151.8414293161,51876979.9753542
"383","010200040110",99.9401392549963,65882.7675885954,85709708.8891006
"384","010200040111",99.1763040320653,90179.3847836382,97908490.3129769
"385","010200040201",95.8248096374588,52000.1947949628,63339376.7100979
"386","010200040202",97.8455720782871,67739.6819855162,88062930.4787322
"387","010200040203",98.5637362881873,56474.2167974777,80913637.6785169
"388","010200040204",99.9673385982396,81421.78668069,107474458.481456
"389","010200040205",98.9509291770146,86921.6583542326,126100630.445067
"390","010200040301",85.5778241608451,57929.9321608314,84503595.8661455
"391","010200040302",99.4609549672796,56963.8607595822,88156725.265216
"392","010200040303",98.9629556988404,36973.9311115767,36707356.5069566
"393","010200040304",91.0911546032831,43317.8965895543,55323354.1083842
"394","010200040305",97.4729762884069,49132.1498850697,62358428.9570394
"395","010200040306",96.834586941407,55359.8367532128,71212317.6105257
"396","010200040307",93.442657638595,63203.4254546933,127609951.463837
"397","010200040308",94.2478532238713,44067.2011972075,66770609.6700836
"398","010200040309",95.0112242443678,42461.1231011922,44863636.6729281
"399","010200040310",99.8731557513853,35947.6230511387,53928155.2722152
"400","010200040311",82.7649179946493,75528.2531873999,154748600.826195
"401","010200040312",97.0924618878599,47586.2738432846,66165572.6297902
"402","010200040401",97.9564067456436,51552.1343369381,105848827.41812
"403","010200040402",99.8379782288334,58881.1135767943,110542578.889581
"404","010200040403",98.2801707013879,41142.9827504351,70221403.7763887
