TNMID_2019,TNMID_2015,LOADDATE_2019,LoadDate_2015,AREAACRES_2019,AreaAcres_2015,AREASQKM_2019,AreaSqKm_2015,STATES_2019,States_2015,HUC10_2019,HUC10_2015,HUTYPE_2019,HUType_2015,HUMOD_2019,HUMod_2015,NAME_2019,Name_2015
{5EC7EA21-BAED-4F90-992E-83F8CD2714F2},{5EC7EA21-BAED-4F90-992E-83F8CD2714F2},10/4/2019 10:49,10/24/2012 7:27,107240.65,107821,433.99,436.67505,"CN,VT","CN,VT",0430020207,0415050004,S,S,,,Tomifobia River,Riviere Tomifobia
{17844B7F-39BE-4054-9B34-691D7A19D93E},{17844B7F-39BE-4054-9B34-691D7A19D93E},10/4/2019 10:49,10/24/2012 7:27,131665.3,50825,532.83,205.68,"CN,VT","CN,VT",0430020208,0415050006,S,S,,,Coaticook River,Coaticook River
{553A3762-7EE7-426A-AB05-15DD85A96F6C},,10/4/2019 10:49,,119825.67,,484.92,,CN,,0430020209,,S,,,,Salmon River,
{52E46B94-B596-4E0B-9273-C93096B59A2D},,10/4/2019 10:49,,56247.08,,227.62,,CN,,0430020210,,S,,,,Massawippi River,
{0A55C882-58ED-47A5-92EF-85EAB5C89A3B},{0A55C882-58ED-47A5-92EF-85EAB5C89A3B},10/4/2019 10:49,10/24/2012 7:27,105118.94,105119,425.4,425.4,VT,VT,0430020211,0415050001,S,S,,,Barton River,Barton River
{B3924473-6A74-4C46-91E5-61FBD2D2432C},{B3924473-6A74-4C46-91E5-61FBD2D2432C},10/4/2019 10:49,10/24/2012 7:27,86305.66,86305,349.27,349.53525,VT,VT,0430020212,0415050002,S,S,,,Black River,Black River
{669B6942-6C8B-47BB-A77F-B8C637956BFC},{669B6942-6C8B-47BB-A77F-B8C637956BFC},10/4/2019 10:49,10/24/2012 7:27,92203.18,92602,373.13,374.75,VT,VT,0430020213,0415050003,S,S,,,Clyde River,Clyde River
{7606C4AC-2776-4072-B68B-6D8B6069B2EA},{7606C4AC-2776-4072-B68B-6D8B6069B2EA},10/4/2019 10:49,10/24/2012 7:27,156138.64,31844,631.87,128.9682,"CN,VT","CN,VT",0430020214,0415050005,S,S,,,Lake Memphremagog,Lake Memphremagog
{1FF50E5E-BE88-46B9-B037-D56ED86209E3},,10/4/2019 10:49,,63721.52,,257.87,,CN,,0430020215,,S,,,,Magog River,
{9E3E575A-83DF-4105-8563-F1154A9D73E6},{9E3E575A-83DF-4105-8563-F1154A9D73E6},10/4/2019 10:49,10/24/2012 7:27,173037.42,1500716,700.26,6073.19,CN,"CN,NH,VT",0430020216,0415050000,S,S,,,Stacey Stream-Saint Francois River,St. Francois River
