"","X","huc12","states","name","areasqkm","areaacres"
"22899","22899","090100060303","CN","Radville Reservoir-Long Creek",96.02,23726.2
"22900","22900","090100060104","CN","Tucker Lake",100.37,24802.38
"22901","22901","090100080302","CN","090100080302",119.91,29630.02
"22905","22905","090100080305","CN","090100080305",141.2,34891.37
"22906","22906","090100031704","CN","Town of Mair",82.52,20392.33
"22907","22907","090100070505","CN","Talagwa Lake",108.41,26787.66
"22908","22908","090100070503","CN","Town of Yeoman",102.32,25283.53
"22909","22909","090100031204","CN","090100031204",144.6,35732.09
"22910","22910","090100080504","CN","Swift Creek",131.62,32523.2
"22911","22911","090100080503","CN","White Bear (Carlyle) Lake",40.46,9997.67
"22924","22924","090100060302","CN","090100060302",62.38,15415.18
"22925","22925","090100070506","CN","Outlet Rinfret Brook",97.77,24158.54
"22926","22926","090100070805","CN","090100070805",131.44,32478.48
"24358","24358","190104041202","CN","190104041202",64.32,15894.87
"24402","24402","100500131102","CN","100500131102",43.93,10856.04
"24413","24413","100500131104","CN","100500131104",41.49,10251.58
"24426","24426","090400011007","CN","090400011007-Pothole Creek",77.02,19032.91
"24430","24430","090400011101","CN","090400011101",76.75,18965.45
"24447","24447","100500110507","CN","100500110507",67.66,16719.53
"24509","24509","100500070503","CN","Town of Senate",54.02,13349.13
"24531","24531","100500150501","CN","100500150501",66.01,16310.53
"24534","24534","100500130604","CN","Eastbrook Coulee",109.93,27165.23
"24542","24542","100500131001","CN","Garden Creek-Frenchman River",65.35,16147.14
"24567","24567","090400011010","CN","Outlet Pothole Creek",66.18,16354.63
"24576","24576","100500080306","CN","Rangeview Creek",85.95,21239.12
"24579","24579","100500080302","CN","Town of Consul-Battle Creek",68.56,16940.94
"24585","24585","100500080206","CN","100500080206",40.67,10049.35
"24591","24591","100500070404","CN","100500070404",43.27,10691.05
"24593","24593","100500020201","CN","100500020201",113.45,28034.58
"24624","24624","100500020606","CN","100500020606-Milk River",105.41,26048.33
"24748","24748","100500080207","CN","100500080207",46.96,11604.11
"24756","24756","100500110110","CN","100500110110",67.79,16752.21
"24776","24776","100500070401","CN","100500070401",49.83,12314.32
"24807","24807","100500080411","CN,MT","Thretening Times Dam",91.97,22726.73
"24808","24808","100500070703","CN,MT","Lower Creedman Coulee",63.37,15659.55
"24847","24847","100500070704","CN,MT","Stanley Steamer Dam-Lodge Creek",109.77,27124.42
"24903","24903","100500020105","CN,MT","100500020105",44.12,10902.09
"24935","24935","100500010602","CN,MT","100500010602",69.98,17293.52
"24937","24937","100500020301","CN","100500020301",51.47,12719.04
"25018","25018","100500070101","CN","Thelma Creek",60.92,15054.64
"25070","25070","100500130902","CN","Upper Denniel Creek",109,26934.88
"25098","25098","100500150503","CN","100500150503",70.83,17501.76
"25111","25111","100500150201","CN","Upper Horse Creek",59.8,14777.63
"25155","25155","100500130907","CN","Lower Denniel Creek",59.62,14731.45
"25157","25157","100500131101","CN","Soda Lake",48.7,12034.8
"25158","25158","100500150602","CN,MT","Crow Creek",117.85,29120.43
"25226","25226","100500131007","CN","Town of Val Marie-Frenchman River",85.01,21005.33
"25242","25242","100500131401","CN,MT","Steelman Coulee-Frenchman Creek",40.1,9909.92
"25302","25302","100500110206","CN","Town of Climax",77.72,19204.03
"25323","25323","100500080305","CN","100500080305",39.89,9857.1
"25331","25331","100500070505","CN","Outlet Middle Creek",70.78,17490.82
"25402","25402","100500110202","CN","Town of Loomis",66.5,16431.73
"25430","25430","100500080304","CN","Stenhouse Creek-Battle Creek",84.23,20812.44
"25494","25494","100500020902","CN,MT","Middle Spring Coulee",75.86,18746.02
"25534","25534","100500130502","CN","Blacktail Creek-Frenchman River",55.77,13781.87
"25610","25610","090400011102","CN","090400011102",84.3,20831.82
"25661","25661","100500130801","CN","100500130801",85.4,21103.43
"25672","25672","100500080404","CN,MT","Lower Coteau Creek",107.97,26680.11
"25673","25673","100500080503","CN,MT","100500080503-Battle Creek",71.64,17703.38
"25674","25674","100500020805","CN,MT","Kennedy Coulee",91.88,22704.45
"25675","25675","100500030401","CN,MT","Brown Paper Bag Dam",78.82,19477.63
"25678","25678","100500130602","CN","100500130602",85.64,21160.99
"25680","25680","100500070606","CN,MT","100500070606-Lodge Creek",39.72,9815.32
"25681","25681","100500130605","CN","Duncan Coulee-Frenchman River",157.68,38963.7
"25682","25682","100500080502","CN,MT","Lower Woodpile Creek",83.49,20632.03
"25683","25683","100500130703","CN","White Creek",106.33,26273.65
"25684","25684","100500130702","CN","Gunn Creek",56,13838.53
"25685","25685","100500130601","CN","Galliene Coulee",99.89,24684.38
"25689","25689","100500131301","CN","Upper Little Breed Creek",84.7,20929.73
"25690","25690","100500110506","CN","Town of Bracken-Whitewater Creek",88.25,21805.8
"25692","25692","100500131201","CN","Town of Masefield-Frenchman River",229.99,56831.75
"25694","25694","100500131205","CN","100500131205-Frenchman River",135.95,33594.22
"25697","25697","100500110505","CN","100500110505",123.96,30631.32
"25698","25698","100600040105","CN,MT","Border Creek-West Poplar River",89.32,22070.3
"25704","25704","100500131203","CN","100500131203-Frenchman River",121.04,29909.82
"25705","25705","100500131204","CN","100500131204",79.81,19722.55
"25712","25712","100500150507","CN,MT","Lower McEachern Creek",58.44,14441.78
"25713","25713","100500150601","CN,MT","East Fork Crow Creek",71.46,17658.32
"25715","25715","100500150103","CN,MT","Lowerr Morgan Creek",99.5,24587.99
"25716","25716","100500150405","CN,MT","Lower Rock Creek",74.28,18354.04
"25720","25720","100500150702","CN,MT","Snake Creek",106.09,26215.57
"25722","25722","100500150902","CN,MT","Bluff Creek",123.38,30487.38
"25726","25726","100500131103","CN","Upper Breed Creek",102.75,25389.56
"25727","25727","100500130701","CN","Mule Creek",98.5,24340.79
"25728","25728","100500130603","CN","McNichol Creek",109.25,26995.14
"25729","25729","100500130401","CN","Rose Creek",46.03,11373.79
"25730","25730","100500110701","CN,MT","Big Coulee-Whitewater Creek",76.45,18891.06
"25731","25731","100500131202","CN","100500131202",67.3,16630.23
"25732","25732","100500110602","CN,MT","Clausen Dam",116.78,28857.31
"25733","25733","100500080402","CN","Upper Coteau Creek",77.38,19121.68
"25734","25734","100500131006","CN","Newton Lake-Frenchman River",99.72,24641.36
"25735","25735","100500080102","CN","Town of Olga",49.36,12196.86
"25736","25736","100500110105","CN","100500110105",40.8,10081.22
"25737","25737","100500150403","CN","Lower Boggy Creek",35.45,8760.09
"25740","25740","100500150404","CN,MT","Upper Rock Creek",70.43,17403.56
"25742","25742","100500110503","CN","100500110503",113.7,28096.97
"25743","25743","100500110103","CN","100500110103",61.59,15220.09
"25744","25744","100500110404","CN,MT","Town of Caldwell",99.84,24671.44
"25746","25746","100500110508","CN,MT","Town of Monchy-Whitewater Creek",55.17,13631.85
"25747","25747","100500130906","CN","Town of Coriander",118.69,29329.41
"25748","25748","100500130903","CN","100500130903",76.11,18806.9
"25749","25749","100500110106","CN","Town of Staynor Hall",77.12,19056.16
"25752","25752","100500100304","CN,MT","Alkali Lake",130.61,32274.53
"25753","25753","100500100303","CN,MT","100500100303",110.32,27261.37
"25754","25754","100500150203","CN,MT","Lower Horse Creek",83.33,20590.8
"25755","25755","100500150401","CN","Spring Creek",46.62,11520.24
"25756","25756","100500131304","CN,MT","100500131304-Frenchman River",126.7,31307.78
"25758","25758","100500110405","CN,MT","Cottonwood Coulee",146.23,36134.49
"25759","25759","100500131303","CN","Otter Creek",42.49,10499.68
"25760","25760","100500150901","CN,MT","Headwaters Bluff Creek",107.31,26516.4
"25761","25761","100500110401","CN,MT","Port of Turner",129.11,31903.23
"25762","25762","100500150505","CN,MT","LaBerge Creek",122.01,30149.38
"25763","25763","100500131005","CN","100500131005-Frenchman River",103.94,25683.6
"25764","25764","100500130503","CN","Eastend Reservoir-Frenchman River",85.27,21070.36
"25766","25766","100500131004","CN","Huff Lake-Frenchman River",107.57,26580.22
"25769","25769","100500150504","CN","Flaata Creek-Rausch Creek",45.41,11220.99
"25770","25770","100500110605","CN,MT","Kohola Reservoir",147.37,36416.38
"25771","25771","100500150202","CN","Middle Horse Creek",54.99,13589.02
"25772","25772","100500131003","CN","100500131003-Frenchman River",104.18,25742.9
"25776","25776","100500150506","CN,MT","Middle McEachern Creek",83.38,20603.17
"25778","25778","100500110604","CN,MT","Titan Reservoir-East Whitewater Creek",159.5,39412.97
"25781","25781","100500130905","CN","Middle Deniiel Creek",93.48,23098.26
"25784","25784","090400011201","CN","090400011201",68.11,16829.63
"25788","25788","100500130904","CN","Town of Hilldale",150.94,37298.4
"25789","25789","100500080307","CN","100500080307",81.79,20211.09
"25790","25790","100500131002","CN","Rattlesnake Creek-Frenchman River",159.37,39380.25
"25791","25791","100500130901","CN","100500130901",68.2,16851.69
"25792","25792","100500021203","CN,MT","100500021203-Milk River",104.03,25706.98
"25794","25794","100500150502","CN","Upper McEachern Creek",51.39,12698.19
"25803","25803","100500150102","CN","Upper Morgan Creek",126.52,31264.24
"25810","25810","100500131302","CN","Lower Little Breed Creek",78.49,19394.12
"25812","25812","100500030402","CN,MT","Wild Horse Lake",209.61,51795.79
"25813","25813","100500150101","CN","Hellfire Creek",115.03,28425.1
"25814","25814","100500020806","CN","100500020806",59.75,14763.67
"25817","25817","100500080501","CN","Upper Woodpile Creek",115.77,28606.76
"25818","25818","100500020807","CN,MT","100500020807-Milk River",91.8,22684.13
"25819","25819","100500070702","CN,MT","Upper Creedman Coulee",91.12,22516.66
"25820","25820","100500150402","CN","Upper Boggy Creek",97.32,24047.46
"25821","25821","100500131105","CN","Lower Breed Creek",66.23,16366.2
"25823","25823","100500070701","CN,MT","Schotish Dam",46.44,11474.44
